timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538058165763,14,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,1,1,http://10.0.10.10:9966/petclinic/api/owners/1,13,0,1
1538058165778,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,1,1,http://10.0.10.10:9966/petclinic/api/owners/1,2,0,1
1538058165780,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,2,2,http://10.0.10.10:9966/petclinic/api/owners/1,5,0,1
1538058165783,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,2,2,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,0
1538058165785,2,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,2,2,http://10.0.10.10:9966/petclinic/api/owners/1,2,0,0
1538058165786,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,2,2,http://10.0.10.10:9966/petclinic/api/owners/1,2,0,0
1538058165787,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,2,2,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,1
1538058165789,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,2,2,http://10.0.10.10:9966/petclinic/api/owners/1,2,0,0
1538058165790,4,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,2,2,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,1
1538058165791,17,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,16,0,1
1538058165794,15,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,15,0,12
1538058165808,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,2,0,0
1538058165803,8,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,8,0,3
1538058165809,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,1
1538058165810,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,1
1538058165811,3,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,1
1538058165812,4,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,1
1538058165813,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,0
1538058165814,4,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,1
1538058165817,2,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,2,0,1
1538058165817,4,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,0
1538058165819,2,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,3,3,http://10.0.10.10:9966/petclinic/api/owners/1,2,0,0
1538058165821,3,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,0
1538058165819,6,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,6,0,1
1538058165822,4,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,0
1538058165823,4,HTTP Request,200,,UserRest - Load test 1-97,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,0
1538058165827,11,HTTP Request,200,,UserRest - Load test 1-97,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,11,0,1
1538058165826,13,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,13,0,1
1538058165838,2,HTTP Request,200,,UserRest - Load test 1-97,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,2,0,0
1538058165824,17,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,17,0,1
1538058165839,3,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,1
1538058165825,18,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,4,4,http://10.0.10.10:9966/petclinic/api/owners/1,18,0,1
1538058165841,4,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,0
1538058165843,3,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,1
1538058165840,7,HTTP Request,200,,UserRest - Load test 1-97,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,7,0,1
1538058165842,6,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,6,0,1
1538058165843,6,HTTP Request,200,,UserRest - Load test 1-96,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,5,0,1
1538058165846,4,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,0
1538058165847,4,HTTP Request,200,,UserRest - Load test 1-97,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,1
1538058165845,7,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,7,0,1
1538058165848,4,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,0
1538058165849,5,HTTP Request,200,,UserRest - Load test 1-96,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,5,0,1
1538058165850,5,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,0
1538058165853,3,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,5,5,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,0
1538058165851,12,HTTP Request,200,,UserRest - Load test 1-97,text,true,,362,141,6,6,http://10.0.10.10:9966/petclinic/api/owners/1,6,0,0
1538058165854,15,HTTP Request,200,,UserRest - Load test 1-96,text,true,,362,141,6,6,http://10.0.10.10:9966/petclinic/api/owners/1,15,0,1
1538058165856,14,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,6,6,http://10.0.10.10:9966/petclinic/api/owners/1,14,0,7
1538058165863,8,HTTP Request,200,,UserRest - Load test 1-95,text,true,,362,141,6,6,http://10.0.10.10:9966/petclinic/api/owners/1,8,0,2
1538058165863,9,HTTP Request,200,,UserRest - Load test 1-97,text,true,,362,141,6,6,http://10.0.10.10:9966/petclinic/api/owners/1,9,0,2
1538058165871,12,HTTP Request,200,,UserRest - Load test 1-95,text,true,,362,141,6,6,http://10.0.10.10:9966/petclinic/api/owners/1,12,0,1
1538058165855,28,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,6,6,http://10.0.10.10:9966/petclinic/api/owners/1,28,0,0
1538058165869,16,HTTP Request,200,,UserRest - Load test 1-96,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,15,0,0
1538058165852,33,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,33,0,0
1538058165871,14,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,14,0,0
1538058165883,4,HTTP Request,200,,UserRest - Load test 1-95,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,3,0,1
1538058165883,5,HTTP Request,200,,UserRest - Load test 1-94,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,4,0,1
1538058165872,17,HTTP Request,200,,UserRest - Load test 1-97,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,17,0,1
1538058165885,5,HTTP Request,200,,UserRest - Load test 1-98,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,5,0,1
1538058165885,5,HTTP Request,200,,UserRest - Load test 1-100,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,5,0,0
1538058165883,8,HTTP Request,200,,UserRest - Load test 1-99,text,true,,362,141,7,7,http://10.0.10.10:9966/petclinic/api/owners/1,7,0,1
